timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/18 16:07:46.042, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/18 16:07:46.142, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/18 16:07:46.242, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/18 16:07:46.342, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/18 16:07:46.442, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/18 16:07:46.543, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/18 16:07:46.643, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/18 16:07:46.743, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 1 MiB
2026/09/18 16:07:46.857, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 1 MiB
2026/09/18 16:07:46.978, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 1 MiB
2026/09/18 16:07:47.355, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 1 MiB
2026/09/18 16:07:47.461, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 4 MiB
2026/09/18 16:07:47.608, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 4 MiB
2026/09/18 16:07:47.790, 0, 345 MHz, 2619 MHz, 63.48 W, 0 %, 4 MiB
2026/09/18 16:07:47.895, 0, 345 MHz, 2619 MHz, 63.48 W, 0 %, 4 MiB
2026/09/18 16:07:47.995, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 4 MiB
2026/09/18 16:07:48.096, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 4 MiB
2026/09/18 16:07:48.196, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 4 MiB
2026/09/18 16:07:48.296, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 4 MiB
2026/09/18 16:07:48.396, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 4 MiB
2026/09/18 16:07:48.496, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 4 MiB
2026/09/18 16:07:48.596, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 4 MiB
2026/09/18 16:07:48.697, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 4 MiB
2026/09/18 16:07:48.797, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 4 MiB
2026/09/18 16:07:48.897, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 4 MiB
2026/09/18 16:07:48.997, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 4 MiB
2026/09/18 16:07:49.097, 0, 345 MHz, 2619 MHz, 63.39 W, 0 %, 4 MiB
2026/09/18 16:07:49.197, 0, 1785 MHz, 2619 MHz, 65.04 W, 0 %, 22 MiB
2026/09/18 16:07:49.346, 0, 1785 MHz, 2619 MHz, 68.22 W, 0 %, 23 MiB
2026/09/18 16:07:49.446, 0, 1785 MHz, 2619 MHz, 71.20 W, 0 %, 23 MiB
2026/09/18 16:07:49.560, 0, 1785 MHz, 2619 MHz, 74.26 W, 0 %, 41 MiB
2026/09/18 16:07:49.660, 0, 1785 MHz, 2619 MHz, 77.06 W, 1 %, 595 MiB
2026/09/18 16:07:49.760, 0, 1785 MHz, 2619 MHz, 79.86 W, 1 %, 595 MiB
