sample,timestamp,wall_time,phase,agg_nodes,bw_mbps,iops,lat_mean_us,lat_p50_us,lat_p95_us,lat_p99_us,lat_max_us
99,2026-09-13T19:28:13-05:00,2002,quiet_2,4,3815.2,30521,2095.1,2056.2,2474.0,2736.1,3866.1
100,2026-09-13T19:28:33-05:00,2022,quiet_2,4,3811.7,30493,2097.2,2056.2,2474.0,2768.9,4194.9
101,2026-09-13T19:28:54-05:00,2043,quiet_2,4,3804.2,30434,2101.2,2056.2,2474.0,2768.9,3804.9
102,2026-09-13T19:29:14-05:00,2063,quiet_2,4,3841.0,30728,2081.2,2039.8,2441.2,2703.4,3879.5
103,2026-09-13T19:29:35-05:00,2084,quiet_2,4,3798.6,30389,2104.3,2072.6,2474.0,2736.1,4168.1
104,2026-09-13T19:29:55-05:00,2104,load_2,4,3800.9,30407,2102.9,2072.6,2474.0,2736.1,3939.7
105,2026-09-13T19:30:15-05:00,2124,load_2,4,3819.3,30554,2092.8,2056.2,2474.0,2768.9,4844.6
106,2026-09-13T19:30:36-05:00,2145,load_2,4,3869.1,30953,2066.0,2023.4,2441.2,2703.4,3922.6
107,2026-09-13T19:30:56-05:00,2165,load_2,4,3822.1,30577,2091.2,2056.2,2474.0,2736.1,3883.7
108,2026-09-13T19:31:17-05:00,2186,load_2,4,3866.5,30932,2067.3,2023.4,2441.2,2703.4,4020.7
109,2026-09-13T19:31:37-05:00,2206,load_2,4,3864.6,30917,2068.4,2023.4,2441.2,2703.4,4113.2
110,2026-09-13T19:31:58-05:00,2227,load_2,4,3910.4,31283,2044.1,2007.0,2408.4,2703.4,3972.7
111,2026-09-13T19:32:18-05:00,2247,load_2,4,3876.3,31010,2062.2,2023.4,2441.2,2703.4,6485.8
112,2026-09-13T19:32:38-05:00,2267,load_2,4,3813.2,30506,2096.1,2056.2,2474.0,2703.4,4358.3
113,2026-09-13T19:32:59-05:00,2288,load_2,4,3875.8,31006,2062.4,2023.4,2441.2,2670.6,4012.7
114,2026-09-13T19:33:19-05:00,2308,load_2,4,3869.3,30954,2065.9,2023.4,2441.2,2703.4,4114.0
115,2026-09-13T19:33:40-05:00,2329,load_2,4,3802.8,30422,2101.8,2072.6,2474.0,2736.1,3861.8
116,2026-09-13T19:34:00-05:00,2349,load_2,4,3825.9,30607,2089.1,2056.2,2474.0,2768.9,3874.0
