timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/09/12 13:21:44.175, 3, 63.45 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:45.175, 0, 146.85 W, 100 %, 6 %, 34169 MiB
2026/09/12 13:21:45.175, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:45.175, 2, 64.52 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:45.175, 3, 63.48 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:46.175, 0, 145.99 W, 100 %, 6 %, 34169 MiB
2026/09/12 13:21:46.176, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:46.176, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:46.176, 3, 63.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:47.176, 0, 146.80 W, 100 %, 5 %, 34169 MiB
2026/09/12 13:21:47.176, 1, 63.12 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:47.176, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:47.176, 3, 63.46 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:48.176, 0, 157.00 W, 100 %, 7 %, 34169 MiB
2026/09/12 13:21:48.176, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:48.176, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:48.176, 3, 63.46 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:49.176, 0, 146.95 W, 100 %, 6 %, 34169 MiB
2026/09/12 13:21:49.176, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:49.176, 2, 64.45 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:49.176, 3, 63.49 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:50.176, 0, 146.58 W, 100 %, 6 %, 34169 MiB
2026/09/12 13:21:50.177, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:50.177, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 13:21:50.177, 3, 63.44 W, 0 %, 0 %, 4 MiB
