timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/09/12 15:05:54.933, 3, 63.60 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:55.933, 0, 171.04 W, 100 %, 5 %, 82935 MiB
2026/09/12 15:05:55.933, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:55.933, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:55.934, 3, 63.61 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:56.934, 0, 171.44 W, 100 %, 4 %, 82935 MiB
2026/09/12 15:05:56.934, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:56.934, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:56.934, 3, 63.58 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:57.934, 0, 127.38 W, 0 %, 0 %, 82975 MiB
2026/09/12 15:05:57.934, 1, 63.12 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:57.934, 2, 64.52 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:57.934, 3, 63.57 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:58.934, 0, 164.21 W, 100 %, 8 %, 83463 MiB
2026/09/12 15:05:58.934, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:58.934, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:58.934, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:59.934, 0, 178.66 W, 100 %, 7 %, 83463 MiB
2026/09/12 15:05:59.934, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:59.934, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:59.934, 3, 63.56 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:00.935, 0, 172.16 W, 100 %, 4 %, 83463 MiB
2026/09/12 15:06:00.935, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:00.935, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:00.935, 3, 63.60 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:01.935, 0, 171.84 W, 100 %, 4 %, 83463 MiB
2026/09/12 15:06:01.935, 1, 63.11 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:01.935, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:01.935, 3, 63.55 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:02.935, 0, 168.82 W, 68 %, 4 %, 83463 MiB
2026/09/12 15:06:02.935, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:02.935, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:02.935, 3, 63.51 W, 0 %, 0 %, 4 MiB
