timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/09/12 14:11:14.552, 3, 63.44 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:15.552, 0, 62.49 W, 0 %, 0 %, 82935 MiB
2026/09/12 14:11:15.552, 1, 63.13 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:15.552, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:15.552, 3, 63.44 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:16.552, 0, 110.36 W, 35 %, 3 %, 83463 MiB
2026/09/12 14:11:16.552, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:16.552, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:16.552, 3, 63.47 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:17.552, 0, 179.69 W, 95 %, 9 %, 83463 MiB
2026/09/12 14:11:17.553, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:17.553, 2, 64.43 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:17.553, 3, 63.45 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:18.553, 0, 181.66 W, 100 %, 9 %, 83463 MiB
2026/09/12 14:11:18.553, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:18.553, 2, 64.45 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:18.553, 3, 63.47 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:19.553, 0, 180.00 W, 94 %, 9 %, 83463 MiB
2026/09/12 14:11:19.553, 1, 63.06 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:19.553, 2, 64.39 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:19.553, 3, 63.42 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:20.553, 0, 180.18 W, 100 %, 8 %, 83463 MiB
2026/09/12 14:11:20.553, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:20.553, 2, 64.45 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:20.553, 3, 63.47 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:21.553, 0, 180.98 W, 100 %, 8 %, 83463 MiB
2026/09/12 14:11:21.554, 1, 63.07 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:21.554, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:21.554, 3, 63.40 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:22.554, 0, 181.43 W, 100 %, 8 %, 83463 MiB
2026/09/12 14:11:22.554, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:22.554, 2, 64.43 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:22.554, 3, 63.44 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:23.554, 0, 181.46 W, 100 %, 8 %, 83463 MiB
2026/09/12 14:11:23.554, 1, 63.07 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:23.554, 2, 64.48 W, 0 %, 0 %, 4 MiB
