timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/15 20:55:32.659, 0, 1785 MHz, 2619 MHz, 89.27 W, 2 %, 16059 MiB
2026/09/15 20:55:32.760, 0, 1785 MHz, 2619 MHz, 89.26 W, 2 %, 16059 MiB
2026/09/15 20:55:32.860, 0, 1785 MHz, 2619 MHz, 89.25 W, 2 %, 16059 MiB
2026/09/15 20:55:32.960, 0, 1785 MHz, 2619 MHz, 89.19 W, 2 %, 16059 MiB
2026/09/15 20:55:33.060, 0, 1785 MHz, 2619 MHz, 89.16 W, 2 %, 16059 MiB
2026/09/15 20:55:33.160, 0, 1785 MHz, 2619 MHz, 89.14 W, 2 %, 16059 MiB
2026/09/15 20:55:33.261, 0, 1785 MHz, 2619 MHz, 89.14 W, 2 %, 16059 MiB
2026/09/15 20:55:33.361, 0, 1785 MHz, 2619 MHz, 89.15 W, 2 %, 16059 MiB
2026/09/15 20:55:33.461, 0, 1785 MHz, 2619 MHz, 89.16 W, 2 %, 16059 MiB
2026/09/15 20:55:33.562, 0, 1785 MHz, 2619 MHz, 89.16 W, 2 %, 16059 MiB
2026/09/15 20:55:33.662, 0, 1785 MHz, 2619 MHz, 89.18 W, 2 %, 16059 MiB
2026/09/15 20:55:33.762, 0, 1785 MHz, 2619 MHz, 89.18 W, 2 %, 16059 MiB
2026/09/15 20:55:33.862, 0, 1785 MHz, 2619 MHz, 89.18 W, 2 %, 16059 MiB
2026/09/15 20:55:33.962, 0, 1785 MHz, 2619 MHz, 89.17 W, 2 %, 16059 MiB
2026/09/15 20:55:34.063, 0, 1785 MHz, 2619 MHz, 89.17 W, 2 %, 16059 MiB
2026/09/15 20:55:34.163, 0, 1785 MHz, 2619 MHz, 89.17 W, 2 %, 16059 MiB
2026/09/15 20:55:34.263, 0, 1785 MHz, 2619 MHz, 89.19 W, 2 %, 16059 MiB
2026/09/15 20:55:34.363, 0, 1785 MHz, 2619 MHz, 89.18 W, 2 %, 16059 MiB
2026/09/15 20:55:34.463, 0, 1785 MHz, 2619 MHz, 89.19 W, 2 %, 16059 MiB
2026/09/15 20:55:34.563, 0, 1785 MHz, 2619 MHz, 89.19 W, 2 %, 16059 MiB
2026/09/15 20:55:34.663, 0, 1785 MHz, 2619 MHz, 89.19 W, 2 %, 16059 MiB
2026/09/15 20:55:34.763, 0, 1785 MHz, 2619 MHz, 89.19 W, 2 %, 16059 MiB
2026/09/15 20:55:34.864, 0, 1785 MHz, 2619 MHz, 89.19 W, 2 %, 16059 MiB
2026/09/15 20:55:34.964, 0, 1785 MHz, 2619 MHz, 89.18 W, 2 %, 16059 MiB
2026/09/15 20:55:35.064, 0, 1785 MHz, 2619 MHz, 89.19 W, 2 %, 16059 MiB
