sample,timestamp,wall_time,bw_mbps,iops,lat_mean_us,lat_p50_us,lat_p95_us,lat_p99_us,lat_max_us
138,2026-09-13T17:04:44-05:00,2797,2607.2,20858,3066.9,2998.3,3588.1,3981.3,6527.1
139,2026-09-13T17:05:05-05:00,2818,2578.8,20630,3100.6,3031.0,3653.6,4112.4,9626.3
140,2026-09-13T17:05:25-05:00,2838,2597.8,20782,3077.9,2998.3,3620.9,4046.8,8598.8
141,2026-09-13T17:05:46-05:00,2859,2590.1,20721,3087.1,3031.0,3620.9,4046.8,7312.3
142,2026-09-13T17:06:06-05:00,2879,2597.9,20783,3077.8,2998.3,3620.9,4014.1,7020.2
143,2026-09-13T17:06:27-05:00,2900,2590.4,20723,3086.7,2998.3,3653.6,4112.4,7034.6
144,2026-09-13T17:06:47-05:00,2920,2580.1,20641,3099.1,3031.0,3653.6,4227.1,6754.9
145,2026-09-13T17:07:07-05:00,2940,2595.1,20761,3081.3,2998.3,3620.9,3981.3,6804.3
146,2026-09-13T17:07:28-05:00,2961,2560.2,20481,3123.2,3031.0,3686.4,4079.6,6478.9
147,2026-09-13T17:07:48-05:00,2981,2602.6,20821,3072.3,2998.3,3620.9,4046.8,6561.0
148,2026-09-13T17:08:09-05:00,3002,2597.0,20776,3078.9,2998.3,3620.9,4079.6,7531.9
149,2026-09-13T17:08:29-05:00,3022,2590.1,20721,3087.1,2998.3,3653.6,4227.1,7156.7
150,2026-09-13T17:08:49-05:00,3042,2597.1,20777,3078.8,2998.3,3620.9,3981.3,10240.6
151,2026-09-13T17:09:10-05:00,3063,2592.9,20744,3083.8,2998.3,3653.6,4046.8,10354.4
152,2026-09-13T17:09:30-05:00,3083,2601.1,20809,3074.0,2998.3,3620.9,4014.1,6756.9
153,2026-09-13T17:09:51-05:00,3104,2595.0,20760,3081.3,2998.3,3653.6,4145.2,7405.9
154,2026-09-13T17:10:11-05:00,3124,2598.0,20784,3077.8,2998.3,3620.9,3981.3,6958.8
155,2026-09-13T17:10:32-05:00,3145,2586.5,20692,3091.3,2998.3,3653.6,4145.2,7371.6
156,2026-09-13T17:10:52-05:00,3165,2594.2,20753,3082.1,2998.3,3620.9,4079.6,6964.8
157,2026-09-13T17:11:12-05:00,3185,2599.2,20794,3076.1,2998.3,3620.9,4014.1,11291.3
158,2026-09-13T17:11:33-05:00,3206,2575.2,20601,3104.9,3031.0,3653.6,4112.4,7714.4
159,2026-09-13T17:11:53-05:00,3226,2597.6,20781,3078.2,2998.3,3620.9,4079.6,6759.3
160,2026-09-13T17:12:14-05:00,3247,2582.8,20662,3096.0,3031.0,3653.6,4112.4,9027.3
161,2026-09-13T17:12:34-05:00,3267,2584.5,20676,3093.8,2998.3,3653.6,4112.4,6923.7
162,2026-09-13T17:12:55-05:00,3288,2587.4,20699,3090.3,2998.3,3653.6,4112.4,8930.2
163,2026-09-13T17:13:15-05:00,3308,2547.6,20381,3138.6,3063.8,3719.2,4177.9,6729.0
164,2026-09-13T17:13:35-05:00,3328,2589.7,20717,3087.6,2998.3,3653.6,4046.8,6975.4
165,2026-09-13T17:13:56-05:00,3349,2590.0,20720,3087.1,2998.3,3653.6,4112.4,10537.7
166,2026-09-13T17:14:16-05:00,3369,2592.2,20737,3084.5,2998.3,3620.9,4046.8,6727.8
167,2026-09-13T17:14:37-05:00,3390,2592.9,20744,3083.7,2998.3,3620.9,4177.9,14238.5
168,2026-09-13T17:14:57-05:00,3410,2587.7,20702,3089.8,2998.3,3653.6,4046.8,6997.0
169,2026-09-13T17:15:17-05:00,3430,2583.8,20671,3094.5,3031.0,3653.6,4177.9,7176.5
170,2026-09-13T17:15:38-05:00,3451,2593.6,20749,3083.0,2998.3,3620.9,4014.1,7680.8
171,2026-09-13T17:15:58-05:00,3471,2597.3,20778,3078.7,2998.3,3620.9,4014.1,6585.9
172,2026-09-13T17:16:19-05:00,3492,2602.7,20822,3072.0,2998.3,3620.9,4046.8,7590.8
173,2026-09-13T17:16:39-05:00,3512,2596.2,20770,3080.0,2998.3,3620.9,4079.6,9131.5
174,2026-09-13T17:17:00-05:00,3533,2592.4,20739,3084.5,2998.3,3653.6,4079.6,7461.6
175,2026-09-13T17:17:20-05:00,3553,2596.3,20771,3079.6,2998.3,3620.9,4079.6,6914.4
176,2026-09-13T17:17:40-05:00,3573,2592.1,20737,3084.8,2998.3,3620.9,4014.1,10022.7
177,2026-09-13T17:18:01-05:00,3594,2591.6,20733,3085.2,2998.3,3620.9,4079.6,6857.8
178,2026-09-13T17:18:21-05:00,3614,2605.1,20840,3069.4,2998.3,3620.9,4046.8,9119.5
179,2026-09-13T17:18:42-05:00,3635,2596.0,20768,3080.1,2998.3,3620.9,4046.8,7215.1
180,2026-09-13T17:19:02-05:00,3655,2597.8,20782,3077.9,2998.3,3620.9,4014.1,6920.3
181,2026-09-13T17:19:23-05:00,3676,2606.4,20851,3067.6,2998.3,3620.9,4046.8,6578.6
182,2026-09-13T17:19:43-05:00,3696,2598.0,20784,3077.6,2998.3,3620.9,3981.3,7081.7
183,2026-09-13T17:20:03-05:00,3716,2585.4,20683,3092.6,2998.3,3653.6,4079.6,6946.6
184,2026-09-13T17:20:24-05:00,3737,2592.5,20740,3084.3,2998.3,3620.9,4112.4,6955.2
185,2026-09-13T17:20:44-05:00,3757,2586.4,20691,3091.5,2998.3,3653.6,4112.4,7226.7
186,2026-09-13T17:21:05-05:00,3778,2595.5,20764,3080.6,2998.3,3620.9,4112.4,6784.1
187,2026-09-13T17:21:25-05:00,3798,2587.7,20702,3090.0,2998.3,3620.9,4112.4,7018.4
188,2026-09-13T17:21:45-05:00,3818,2589.8,20718,3087.4,2998.3,3620.9,4112.4,6744.8
189,2026-09-13T17:22:06-05:00,3839,2601.1,20809,3073.9,2998.3,3620.9,4014.1,7172.6
190,2026-09-13T17:22:26-05:00,3859,2573.4,20587,3107.1,3031.0,3686.4,4177.9,7471.5
191,2026-09-13T17:22:47-05:00,3880,2578.1,20625,3101.4,3031.0,3653.6,4112.4,7126.2
192,2026-09-13T17:23:07-05:00,3900,2562.0,20496,3121.0,3031.0,3686.4,4177.9,7769.8
193,2026-09-13T17:23:28-05:00,3921,2592.6,20741,3084.2,2998.3,3620.9,4014.1,16597.5
194,2026-09-13T17:23:48-05:00,3941,2595.6,20765,3080.5,2998.3,3620.9,4112.4,7247.3
195,2026-09-13T17:24:08-05:00,3961,2607.6,20861,3066.2,2998.3,3588.1,4112.4,11060.4
196,2026-09-13T17:24:29-05:00,3982,2548.3,20387,3137.8,3063.8,3719.2,4177.9,7260.4
197,2026-09-13T17:24:49-05:00,4002,2555.7,20446,3128.7,3031.0,3719.2,4177.9,26855.6
198,2026-09-13T17:25:10-05:00,4023,2543.1,20345,3144.1,3063.8,3719.2,4145.2,7509.7
199,2026-09-13T17:25:30-05:00,4043,2583.4,20668,3094.9,3031.0,3653.6,4112.4,7166.5
200,2026-09-13T17:25:51-05:00,4064,2596.9,20776,3078.8,2998.3,3620.9,4145.2,7411.6
201,2026-09-13T17:26:11-05:00,4084,2591.9,20735,3085.0,2998.3,3653.6,4079.6,7066.0
202,2026-09-13T17:26:31-05:00,4104,2596.3,20770,3079.8,2998.3,3620.9,4112.4,7243.5
203,2026-09-13T17:26:52-05:00,4125,2597.1,20777,3078.7,2998.3,3620.9,4112.4,9317.5
204,2026-09-13T17:27:12-05:00,4145,2590.6,20725,3086.5,2998.3,3620.9,4046.8,6456.3
205,2026-09-13T17:27:33-05:00,4166,2593.5,20748,3083.1,2998.3,3653.6,4079.6,7225.2
206,2026-09-13T17:27:53-05:00,4186,2607.5,20860,3066.4,2998.3,3620.9,4046.8,7161.3
207,2026-09-13T17:28:13-05:00,4206,2585.5,20684,3092.6,2998.3,3653.6,4079.6,7331.7
208,2026-09-13T17:28:34-05:00,4227,2588.1,20705,3089.4,2998.3,3653.6,4112.4,8339.5
209,2026-09-13T17:28:54-05:00,4247,2597.8,20782,3077.9,2998.3,3620.9,4014.1,6605.3
210,2026-09-13T17:29:15-05:00,4268,2610.5,20884,3062.9,2998.3,3620.9,4046.8,6943.3
211,2026-09-13T17:29:35-05:00,4288,2593.9,20751,3082.5,2998.3,3653.6,4112.4,7212.6
212,2026-09-13T17:29:56-05:00,4309,2572.2,20578,3108.5,3031.0,3686.4,4292.6,7342.1
213,2026-09-13T17:30:16-05:00,4329,2609.1,20872,3064.8,2998.3,3588.1,3981.3,6709.2
214,2026-09-13T17:30:36-05:00,4349,2601.8,20814,3073.1,2998.3,3588.1,4046.8,6934.7
215,2026-09-13T17:30:57-05:00,4370,2599.1,20793,3076.4,2998.3,3620.9,4112.4,6799.6
216,2026-09-13T17:31:17-05:00,4390,2597.0,20776,3078.8,2998.3,3620.9,4014.1,6754.4
217,2026-09-13T17:31:38-05:00,4411,2591.9,20735,3085.0,2998.3,3620.9,4112.4,6875.2
218,2026-09-13T17:31:58-05:00,4431,2589.8,20718,3087.5,2998.3,3620.9,4079.6,7196.9
219,2026-09-13T17:32:19-05:00,4452,2601.3,20810,3073.7,2998.3,3620.9,4046.8,6705.9
220,2026-09-13T17:32:39-05:00,4472,2599.4,20796,3076.0,2998.3,3620.9,4046.8,8110.4
221,2026-09-13T17:32:59-05:00,4492,2601.6,20813,3073.5,2998.3,3620.9,4046.8,7112.6
222,2026-09-13T17:33:20-05:00,4513,2586.5,20692,3091.4,2998.3,3620.9,4112.4,7031.6
223,2026-09-13T17:33:40-05:00,4533,2587.8,20702,3089.9,2998.3,3653.6,4046.8,6877.5
224,2026-09-13T17:34:01-05:00,4554,2592.1,20736,3084.8,2998.3,3620.9,4112.4,7258.8
225,2026-09-13T17:34:21-05:00,4574,2603.7,20830,3070.8,2998.3,3620.9,4014.1,7168.0
226,2026-09-13T17:34:41-05:00,4594,2603.9,20831,3070.7,2998.3,3620.9,4046.8,6792.6
227,2026-09-13T17:35:02-05:00,4615,2595.4,20763,3080.8,2998.3,3620.9,4112.4,7695.5
228,2026-09-13T17:35:22-05:00,4635,2592.8,20742,3083.8,2998.3,3653.6,4046.8,7173.4
229,2026-09-13T17:35:43-05:00,4656,2595.5,20764,3080.7,2998.3,3620.9,4014.1,7406.9
230,2026-09-13T17:36:03-05:00,4676,2593.2,20745,3083.3,2998.3,3620.9,4145.2,14713.8
231,2026-09-13T17:36:24-05:00,4697,2585.3,20683,3092.7,2998.3,3653.6,4145.2,7852.6
232,2026-09-13T17:36:44-05:00,4717,2600.2,20801,3075.1,2998.3,3620.9,4046.8,6946.8
233,2026-09-13T17:37:04-05:00,4737,2594.4,20755,3082.0,2998.3,3653.6,4145.2,7691.1
234,2026-09-13T17:37:25-05:00,4758,2601.7,20814,3073.2,2998.3,3620.9,4046.8,7122.0
235,2026-09-13T17:37:45-05:00,4778,2588.5,20708,3089.1,2998.3,3653.6,4046.8,7110.8
236,2026-09-13T17:38:06-05:00,4799,2601.9,20815,3073.0,2998.3,3653.6,4046.8,6554.9
237,2026-09-13T17:38:26-05:00,4819,2589.6,20717,3087.7,3031.0,3620.9,4014.1,6974.1
238,2026-09-13T17:38:47-05:00,4840,2596.3,20770,3079.9,2998.3,3620.9,4014.1,6598.7
239,2026-09-13T17:39:07-05:00,4860,2597.4,20780,3078.2,2998.3,3653.6,4079.6,7241.5
240,2026-09-13T17:39:27-05:00,4880,2586.5,20692,3091.4,2998.3,3653.6,4112.4,7028.5
241,2026-09-13T17:39:48-05:00,4901,2598.9,20791,3076.7,2998.3,3653.6,4112.4,6933.5
242,2026-09-13T17:40:08-05:00,4921,2608.0,20864,3065.9,2998.3,3588.1,4014.1,7399.5
243,2026-09-13T17:40:29-05:00,4942,2591.5,20732,3085.3,2998.3,3620.9,3981.3,7504.7
244,2026-09-13T17:40:49-05:00,4962,2601.9,20815,3073.1,2998.3,3620.9,4112.4,7631.4
245,2026-09-13T17:41:09-05:00,4982,2593.4,20748,3083.0,2998.3,3620.9,4079.6,6981.4
246,2026-09-13T17:41:30-05:00,5003,2613.9,20911,3059.0,2965.5,3588.1,4014.1,7401.8
247,2026-09-13T17:41:50-05:00,5023,2598.7,20789,3077.0,2998.3,3620.9,4145.2,6814.6
248,2026-09-13T17:42:11-05:00,5044,2617.0,20936,3055.3,2965.5,3588.1,4014.1,7338.8
249,2026-09-13T17:42:31-05:00,5064,2573.2,20586,3107.3,3031.0,3653.6,4145.2,7755.4
250,2026-09-13T17:42:52-05:00,5085,2586.1,20689,3092.0,2998.3,3653.6,4177.9,7182.6
251,2026-09-13T17:43:12-05:00,5105,2600.3,20802,3075.0,2998.3,3620.9,4079.6,7011.6
252,2026-09-13T17:43:32-05:00,5125,2588.0,20704,3089.6,2998.3,3653.6,4112.4,7027.3
